Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.3687977498922,35.5268468681701,34.9066956194649,32.092513602143,24.3307718125403,26.7227451502469,26.1518828948759,25.07670432956,24.1633430905854,23.0719766947263,20.9390642234326,19.2036507365412,19.3356301657728,18.770519802938,18.0557069597496,18.2035821684822,19.5262422245091,20.2977316914005,19.102471716101,20.0229166362049
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3377.69126953493,3455.10599907349,3762.74692789299,3899.92231512129,3164.13275408169,3449.14452883369,4139.60288609702,4341.40338748749,4572.44377544245,5293.35676680464,5097.53106864695,5363.79026679243,5826.84814459328,6085.41979485376,5842.07344577597,4620.6457238014,4536.73312110335,5414.12092119088,5926.20586394763,6425.74151715712
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.983,66.126,66.161,66.32,66.347,66.778,66.88,65.812,66.545,66.581,66.48,66.657,67.06,66.965,67.009,66.924,64.904,67.148,67.316,..
Fiji,FJI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.003,23.964,23.716,23.293,22.839,22.328,21.76,21.583,21.495,21.291,20.998,20.55,20.029,19.601,19.226,18.828,18.55,18.242,17.996,..
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.912261662506839,0.900982208728377,0.835147738211046,0.618134789575492,0.424160517694519,0.34990116341096,0.28188992280493,0.211061144367838,0.156612656036956,0.134464835572885,0.108160342715375,0.0639915048086223,-0.0442890767199793,-0.172010114641272,-0.24900685817593,0.00699506301854314,0.190863715994045,0.295294727557318,0.51237740019889,0.500721796949901
Fiji,FJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.917,2.905,2.872,2.819,2.76,2.696,2.631,2.612,2.604,2.591,2.567,2.518,2.461,2.419,2.385,2.357,2.332,2.305,2.281,..
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.8421361321385,50.2294752725468,50.6494569776975,51.0979752573339,51.5628013169579,52.0415147785104,52.5335449475105,53.0383211294771,53.5552726299291,54.0838287543856,54.6234188083653,55.1734720973874,55.7408343449609,56.2328347385698,56.70989552257,57.186684691874,57.6618364761928,58.1352701465266,58.6069049738768,59.0766602292457
Fiji,FJI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,79.7871704101562,79.2860107421875,79.2769012451172,79.3391189575195,..,83.9304962158203,82.1471405029297,..,88.1849686883865,87.836769819804,89.18202295018,..,92.0806759919252,91.8760588497548,91.541633605957,93.95505855048,95.3068339697491,98.540177642079,98.0927630329298
Fiji,FJI,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,98.807487487793,93.939826965332,93.6200714111328,93.1077728271484,..,94.1014862060547,95.1824417114258,96.6247792169561,96.8942906526928,99.3576818152788,100.256688986124,102.960840496657,106.223152022315,114.912590026855,112.553329467773,114.93183377296,112.260294588848,111.9366094795,110.377230542693
Fiji,FJI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,120.21074677,126.38617706,140.30192566,134.50354004,121.05646515,127.65603638,140.93704224,153.56562805,158.51806641,178.31169128,169.47518921,175.91635132,185.69645691,249.86022949,254.83047485,256.25967407,331.58413696,217.15068054,212.88697815,..
Fiji,FJI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,56.727,57.804,58.873,59.933,60.985,62.026,63.056,61.686,60.296,58.89,58.238,57.584,57.457,57.361,57.369,53.999,54.46,57.116,57.201,57.219
Fiji,FJI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,21984.1936230719,22330.8676659055,24888.1781337361,26592.0262835732,24434.2197555208,22494.806706186,22831.5185348524,20846.5457478364,21955.6329264095,22258.6321384251,19166.9594761931,19690.0775734589,20826.9312492172,21925.616043938,21582.5892046801,19966.4838503859,21426.3854449835,20053.9569369322,21832.2831795569,22439.8838746025
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.951,80.1,80.328,80.587,80.867,81.141,81.434,81.695,81.935,82.151,82.339,82.555,82.774,82.985,83.195,82.459,79.571,83.859,84.07,..
French Polynesia,PYF,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.925,18.184,17.391,18.028,17.662,17.823,16.92,16.532,15.713,15.799,15.001,13.999,13.146,12.812,11.938,11.782,11.424,11.156,10.907,..
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,1.49587093988006,1.42179044575073,1.21399894849188,0.725858946942358,0.409772633029491,0.406991623911333,0.423008262968887,0.498155436017889,0.600207711920296,0.602054021803628,0.53369255935478,0.471058812613167,0.325069797127642,-0.0971598677616479,-0.279503231980126,0.0626967129843171,0.208586464560115,0.209222276724143,0.263581727538977,0.244792945440769
French Polynesia,PYF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.181,2.217,2.122,2.195,2.148,2.165,2.061,2.026,1.937,1.957,1.872,1.763,1.669,1.645,1.567,1.57,1.532,1.515,1.501,..
French Polynesia,PYF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.8472850820701,57.5825834325129,58.4102481922721,59.2616375081129,60.0681095268001,60.7610223950988,61.2717342597741,61.5286539604592,61.6130486661995,61.6824807401268,61.7374742154907,61.7744381369651,61.7896941062846,61.7888025236875,61.7824142427508,61.7673100921,61.7399813226008,61.6913806937112,61.6967135028569,61.7191984724331
French Polynesia,PYF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,56.726,56.407,56.076,56.075,56.106,56.156,56.212,56.264,56.16,56.045,55.957,55.876,55.822,55.614,55.402,54.459,54.253,53.961,53.353,52.799
French Polynesia,PYF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.4602519635541,20.2542589811382,20.3798093159795,18.9325946508845,16.712434787085,16.3781286675659,18.2322072872423,19.2775482028539,18.5160924863597,19.704885459438,19.613765074754,19.6126341083126,19.556958430367,20.9791687502218,20.5923590296429,9.49972847640143,13.443127139243,21.8171217385989,24.0679217423403,18.3213723539379
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,25631.9776108052,25709.9351488422,26605.4324214756,28112.2316573422,29054.0581201519,29719.7967836082,29926.2052442913,31653.7506538168,32530.7593121483,33900.1486530583,35165.7014644795,35930.6594898711,36779.0078903909,37195.9503070464,39274.9431424899,36482.9363953675,38074.8793745801,41833.1517132825,..,..
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.427,76.477,76.397,76.233,76.141,76.095,76.153,76.237,76.361,76.423,76.444,76.449,76.463,76.561,76.645,75.529,75.434,77.102,77.209,..
Guam,GUM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.442,20.461,20.961,20.771,20.497,20.939,20.152,21.7,19.939,20.228,19.936,21.377,20.622,19.818,19.256,18.613,18.296,18.008,17.662,..
Guam,GUM,Population growth (annual %),SP.POP.GROW,0.338234496297291,0.287967538398627,0.259310790976279,0.257433064578674,0.289273583143063,0.209801847347007,0.0126101511883972,-0.127375540693071,-0.219683082780057,-0.289634900711689,-0.351704858120325,-0.408339926567039,-0.453432485979039,-0.49728924043186,-0.536848682318792,0.216072141009173,0.964756108149453,0.881705873116992,0.799555642468131,0.760437189316384
Guam,GUM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.638,2.807,2.905,2.905,2.891,2.973,2.876,3.117,2.883,2.946,2.933,3.171,3.088,2.995,2.938,2.895,2.856,2.819,2.781,..
Guam,GUM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.7899888326279,93.8894857603993,93.9710535665648,94.0314223884421,94.0673223633488,94.0765173267308,94.0771054436498,94.0777276704115,94.0782751403862,94.0787476782557,94.079145108702,94.079467256407,94.0797139460527,94.079885002321,94.0799802498939,94.0804991087801,94.0884327694075,94.1068261842046,94.1349341638921,94.1726346571831
Guam,GUM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,61.1,62.7,57.8,59.765,61.7,61.4,62.6,62.541,62.492,62.437,62.406,62.391,62.355,62.364,62.284,59.182,59.644,62.192,62.236,62.266
Guam,GUM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.6916686446713,23.7140160453044,22.8564930634524,20.8887934735938,17.3570836785418,17.0943624974742,18.6195826645265,19.0693257359924,19.5036117799593,18.8413547237077,18.0720813933437,18.9628876461617,18.9755529685681,19.2530160304082,22.2501966955153,6.40635564570656,3.09592556945781,7.88712011577424,..,..
